User ID: 5110418380, Message: စာမေးပွဲလတွေကဘယ်လတွေလဲ
User ID: 5110418380, Message: မင်္ဂလာပါ
User ID: 5110418380, Message: စာမေးပွဲလတွေကဘယ်လတွေလဲ
User ID: 5110418380, Message: ကျောင်းအဆောင်လျှောက်ဖို့ဘာတွေလိုလဲ
User ID: 5110418380, Message: ကျောင်းစာကြည့်တိုက်ရှိလား
User ID: 5110418380, Message: စာကြည့်တိုက်က စာအုပ်တွေစုံလား
User ID: 5110418380, Message: ကျေးဇူးတင်ပါတယ်
User ID: 5110418380, Message: ကျောင်းကနေ MTUကို ပေါင်းကူးလို့ရလား, Predicted Intent: transfer
User ID: 5110418380, Message: ကျောင်းပေါင်းကူးတာ က GTI တွေကောရလား, Predicted Intent: activity
User ID: 5110418380, Message: hello, Predicted Intent: greeting
User ID: 5110418380, Message: မင်္ဂလာပါ, Predicted Intent: greeting
User ID: 5110418380, Message: Hello, Predicted Intent: greeting
User ID: 5110418380, Message: မင်္ဂလာပါ, Predicted Intent: greeting
User ID: 5110418380, Message: ကျေးဇူးတင်ပါတယ်, Predicted Intent: greeting
User ID: 5110418380, Message: Thanks, Predicted Intent: thanks
User ID: 5110418380, Message: ကျောင်းအပ်ဖို့ဘာတွေလိုလဲ, Predicted Intent: major
User ID: 5110418380, Message: ကျောင်းအပ်ဖို့ဘာတွေလိုလဲ, Predicted Intent: requirements
User ID: 5110418380, Message: ကျောင်းအပ်ဖို့ဘာတွေလိုလဲ, Predicted Intent: requirements
User ID: 5110418380, Message: ၁၁၁၁၁, Predicted Intent: internship
User ID: 5110418380, Message: ကျောင်းလိပ်စာကိုပြောပြပါ, Predicted Intent: address
User ID: 5110418380, Message: ကျောင်းပြီးသွားရင် မာစာတာတက်လိုရလား, Predicted Intent: transfer
User ID: 5110418380, Message: scholarship တွေရှိလား, Predicted Intent: activity_club
User ID: 5110418380, Message: scholarship တွေရှိလား, Predicted Intent: scholarship
User ID: 5110418380, Message: scholarship တွေရှိလား, Predicted Intent: scholarship
User ID: 1839554698, Message: Hello, Predicted Intent: greeting
User ID: 1839554698, Message: TUM နဲ့ပက်သက်ပီး စုံစမ်းချင်လို့ပါ, Predicted Intent: address
User ID: 1839554698, Message: Major ဘနခုရှိလဲဗျ, Predicted Intent: major
User ID: 1839554698, Message: ညီမလေးချောချောလေးတွေရော ရှိလား, Predicted Intent: scholarship
User ID: 1839554698, Message: နိုင်ငံခြား scholarship များနဲ့ပက်သက်ပီး ပြောပြပေးပါ, Predicted Intent: scholarship
User ID: 1839554698, Message: မြန်မာတနိုင်ငံလုံး ကျောင်းတွင်း ပွဲတွေ အစီအစဉ်တွေ သိရတာ ဘာလို့နောက်ကျတာလဲဗျ, Predicted Intent: requirements
User ID: 1839554698, Message: Event တွေသိရရင် နောက်ဆုံး form လျှောက်တင်ရတဲ့နေ့က ဒီနေ့နေ့လယ် ၁၂ နာရီ ဆို ဘာလို့ ဒီနေ့ ညနေ ၄ နာရီ နောက်ဆုံး form ပိတ်ချိန်လဲဗျ, Predicted Intent: transfer
User ID: 1839554698, Message: Event တွေရော ကျောင်းသားတွေဆီ ဘာလို့တန်းမရောက်တာလဲဗျ, Predicted Intent: noanswer
User ID: 1839554698, Message: ဆရာ ဆရာမတွေက အသိပေးရင်လဲ ဘာလို့အကုန်အသိမပေးပဲ event / scholarship form လျှောက်တင်တဲ့သူ ကိုပဲ အပြစ်တင်ရတာလဲဗျ, Predicted Intent: transfer
User ID: 1839554698, Message: IT တက်ချင်တာ IT major အကြောင်း ရှင်းပြပေးပါ, Predicted Intent: greeting
